ID,H,B,C,T,R
Z100X50X20X2,100,50,20,2,8
Z150X60X20X2,150,60,20,2,8
Z150X60X20X2.5,150,60,20,2.5,8
Z200X60X20X2,200,60,20,2,8
Z200X60X20X2.5,200,60,20,2.5,8
Z250X70X20X2,250,70,20,2,8
Z250X70X20X2.5,250,70,20,2.5,8
