ID,H,B,T,C,R
800S137-54,8,1.375,0.0566,0.375,0.0849
800S137-43,8,1.375,0.0451,0.375,0.0712
800S137-33,8,1.375,0.0346,0.375,0.0765
600S250-97,6,2.5,0.1017,0.625,0.1526
600S250-68,6,2.5,0.0713,0.625,0.107
600S250-54,6,2.5,0.0566,0.625,0.0849
600S250-43,6,2.5,0.0451,0.625,0.0712
600S200-97,6,2,0.1017,0.625,0.1526
600S200-68,6,2,0.0713,0.625,0.107
600S200-54,6,2,0.0566,0.625,0.0849
600S200-43,6,2,0.0451,0.625,0.0712
600S200-33,6,2,0.0346,0.625,0.0765
600S162-97,6,1.625,0.1017,0.5,0.1526
600S162-68,6,1.625,0.0713,0.5,0.107
600S162-54,6,1.625,0.0566,0.5,0.0849
600S162-43,6,1.625,0.0451,0.5,0.0712
600S162-33,6,1.625,0.0346,0.5,0.0765
600S137-97,6,1.375,0.1017,0.375,0.1526
600S137-68,6,1.375,0.0713,0.375,0.107
600S137-54,6,1.375,0.0566,0.375,0.0849
600S137-43,6,1.375,0.0451,0.375,0.0712
600S137-33,6,1.375,0.0346,0.375,0.0765
550S162-68,5.5,1.625,0.0713,0.5,0.107
550S162-54,5.5,1.625,0.0566,0.5,0.0849
550S162-43,5.5,1.625,0.0451,0.5,0.0712
550S162-33,5.5,1.625,0.0346,0.5,0.0765
400S200-68,4,2,0.0713,0.625,0.107
400S200-54,4,2,0.0566,0.625,0.0849
400S200-43,4,2,0.0451,0.625,0.0712
400S200-33,4,2,0.0346,0.625,0.0765
400S162-68,4,1.625,0.0713,0.5,0.107
400S162-54,4,1.625,0.0566,0.5,0.0849
400S162-43,4,1.625,0.0451,0.5,0.0712
400S162-33,4,1.625,0.0346,0.5,0.0765
400S137-68,4,1.375,0.0713,0.375,0.107
400S137-54,4,1.375,0.0566,0.375,0.0849
400S137-43,4,1.375,0.0451,0.375,0.0712
400S137-33,4,1.375,0.0346,0.375,0.0765
362S200-68,3.625,2,0.0713,0.625,0.107
362S200-54,3.625,2,0.0566,0.625,0.0849
362S200-43,3.625,2,0.0451,0.625,0.0712
362S200-33,3.625,2,0.0346,0.625,0.0765
362S162-68,3.625,1.625,0.0713,0.5,0.107
362S162-54,3.625,1.625,0.0566,0.5,0.0849
362S162-43,3.625,1.625,0.0451,0.5,0.0712
362S162-33,3.625,1.625,0.0346,0.5,0.0765
362S137-68,3.625,1.375,0.0713,0.375,0.107
362S137-54,3.625,1.375,0.0566,0.375,0.0849
362S137-43,3.625,1.375,0.0451,0.375,0.0712
